,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
473,558,PT06M59.00S,2021-07-15T03:14:06.4Z,4,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.258212877792378,52.76501225490197,1610612749,88,90,2021-07-15T03:14:10Z,5490000,-14,6,1,left,G. Antetokounmpo cutting DUNK (24 PTS) (J. Holiday 6 AST),"[203507, 201950]",1610612749,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,1.52,Made,24,J. Holiday,201950,6,,,,,,,,,,,,,,,
474,560,PT06M38.00S,2021-07-15T03:14:26.9Z,4,REGULAR,3pt,Jump Shot,[],1629661,66.70499342969777,36.09834558823529,1610612756,88,90,2021-07-15T03:14:31Z,5510000,-70,260,1,right,MISS C. Johnson 26' 3PT,[1629661],1610612756,PHX,,,,Johnson,C. Johnson,,,,,26.96,Missed,,,,,,,,,,,,,,,,,,,
475,561,PT06M36.00S,2021-07-15T03:14:28.9Z,4,REGULAR,rebound,offensive,[],1629028,,,1610612756,88,90,2021-07-15T03:14:31Z,5520000,,,0,,D. Ayton REBOUND (Off:1 Def:14),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,560,15,14,1,,,,,,,,,,,
476,562,PT06M27.00S,2021-07-15T03:14:47.2Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",200782,,,1610612756,88,90,2021-07-15T03:15:17Z,5530000,,,0,,P. Tucker shooting personal FOUL (5 PF) (Crowder 3 FT),"[200782, 203109]",1610612749,MIL,shooting,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,1148,5,0,Crowder,203109,,,
477,564,PT06M27.00S,2021-07-15T03:15:18.7Z,4,REGULAR,freethrow,1 of 3,['2ndchance'],203109,,,1610612756,88,91,2021-07-15T03:15:18Z,5550000,,,0,,J. Crowder Free Throw 1 of 3 (11 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,11,,,,,,,,,,,,,,,,,,
478,565,PT06M27.00S,2021-07-15T03:15:32.4Z,4,REGULAR,freethrow,2 of 3,['2ndchance'],203109,,,1610612756,88,92,2021-07-15T03:15:32Z,5560000,,,0,,J. Crowder Free Throw 2 of 3 (12 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,12,,,,,,,,,,,,,,,,,,
479,566,PT06M27.00S,2021-07-15T03:15:33.8Z,4,REGULAR,substitution,out,[],200782,,,1610612756,88,92,2021-07-15T03:15:40Z,5570000,,,0,,SUB out: P. Tucker,[200782],1610612749,MIL,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
480,567,PT06M27.00S,2021-07-15T03:15:33.8Z,4,REGULAR,substitution,in,[],1626192,,,1610612756,88,92,2021-07-15T03:15:40Z,5580000,,,0,,SUB in: P. Connaughton,[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
481,568,PT06M27.00S,2021-07-15T03:15:53.1Z,4,REGULAR,freethrow,3 of 3,['2ndchance'],203109,,,1610612756,88,93,2021-07-15T03:15:53Z,5590000,,,0,,J. Crowder Free Throw 3 of 3 (13 PTS),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,Made,13,,,,,,,,,,,,,,,,,,
482,569,PT06M14.00S,2021-07-15T03:16:07.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203114,8.492115637319317,41.00030637254902,1610612749,90,93,2021-07-15T03:16:14Z,5600000,45,27,1,left,K. Middleton driving Layup (30 PTS) (G. Antetokounmpo 7 AST),"[203114, 203507]",1610612749,MIL,driving,,,Middleton,K. Middleton,,,,,5.26,Made,30,G. Antetokounmpo,203507,7,,,,,,,,,,,,,,,
483,571,PT05M55.00S,2021-07-15T03:16:25.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1626166,91.14651773981603,50.80422794117647,1610612756,90,93,2021-07-15T03:16:31Z,5620000,4,31,1,right,MISS C. Payne driving Layup - blocked,"[1626166, 1626171]",1610612756,PHX,driving,,,Payne,C. Payne,,,,,3.1,Missed,,,,,,,,,,,,,,,,,Portis,1626171,
484,572,PT05M55.00S,2021-07-15T03:16:25.9Z,4,REGULAR,block,,[],1626171,,,1610612756,90,93,2021-07-15T03:16:29Z,5630000,,,0,,B. Portis BLOCK (1 BLK),[1626171],1610612749,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
485,573,PT05M55.00S,2021-07-15T03:16:25.9Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612756,90,93,2021-07-15T03:16:31Z,5640000,,,0,,TEAM offensive REBOUND,[],1610612756,PHX,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,
486,574,PT05M55.00S,2021-07-15T03:16:32.4Z,4,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,90,93,2021-07-15T03:16:32Z,5650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,575,PT05M55.00S,2021-07-15T03:16:52.6Z,4,REGULAR,substitution,out,[],1626166,,,1610612756,90,93,2021-07-15T03:16:56Z,5660000,,,0,,SUB out: C. Payne,[1626166],1610612756,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
488,576,PT05M55.00S,2021-07-15T03:16:52.6Z,4,REGULAR,substitution,in,[],1626164,,,1610612756,90,93,2021-07-15T03:16:56Z,5670000,,,0,,SUB in: D. Booker,[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
489,577,PT05M52.00S,2021-07-15T03:16:59.3Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1629661,93.29829172141918,13.817401960784315,1610612756,90,95,2021-07-15T03:17:46Z,5680000,-181,10,1,right,C. Johnson 18' Jump Shot (10 PTS) (C. Paul 7 AST),"[1629661, 101108]",1610612756,PHX,,,,Johnson,C. Johnson,,,,,18.12,Made,10,C. Paul,101108,7,,,,,,,,,,,,,,,
